city,date,postal_code,price,streetname,url,amenities,appartment_type,balcony_terrace,bathroom_amenities,bathrooms_amount,build_year,construction_type,delivery,external_storage,floor,floors_amount,heating_type,heating,isolation,kvk_insurance,kvk_monthly_payment,kvk_registration,kvk_repair_plan,kvk_reserve_funds,kvk_yearly_meeting,living_size,location,outside_size,parking,roof,rooms_amount,status,volume,warm_water
Utrecht,2021-11-13,3551 CL,399000,Amsterdamsestraatweg 401 bis,https://mijn.makelaarsland.nl/woning-details/2604495,,"Appartement, Bovenwoning",,,,,Bestaande bouw,In overleg,,2e woonlaag,2,"Remeha uit 2014, Eigendom",Cv-ketel,Grotendeels dubbelglas,Nee,,Nee,Nee,Nee,Nee,100,In woonwijk,15,"Betaald parkeren, Parkeervergunningen",Plat dak bedekt met bitumineuze dakbedekking,5,Beschikbaar,348,Cv-ketel
Utrecht,2021-11-13,3572 SR,469000,Bouwstraat 4,https://mijn.makelaarsland.nl/woning-details/2604471,,,,Douche,1,1860.0,Bestaande bouw,In overleg,,,,,Cv-ketel,,,,,,,,77,"Aan rustige weg, In woonwijk",6,,Mansardedak bedekt met pannen,4,Beschikbaar,301,Cv-ketel
Utrecht,2021-11-13,3533 EN,695000,Chopinstraat 16,https://mijn.makelaarsland.nl/woning-details/2604341,,,Balkon aanwezig,"Douche, toilet",1,1935.0,Bestaande bouw,In overleg,1,,,"Atag uit 2009, Eigendom",Cv-ketel,"Dakisolatie, Gedeeltelijk dubbel glas",,,,,,,105,"Aan rustige weg, In woonwijk",2,,Zadeldak bedekt met pannen,5,Beschikbaar,385,Cv-ketel
Utrecht,2021-11-13,3563 VR,275000,Santiagodreef 54,https://mijn.makelaarsland.nl/woning-details/2604090,,"Appartement, Portiekflat",Balkon aanwezig,Douche,1,1969.0,Bestaande bouw,In overleg,6,1e woonlaag,1,,Stadsverwarming,Dubbel glas,Ja,213,Ja,Ja,Ja,Ja,93,"Aan rustige weg, In woonwijk, Vrij uitzicht",4,Openbaar parkeren,,3,Beschikbaar,285,Stadsverwarming
Utrecht,2021-11-13,3555 EP,234500,Burgemeester Norbruislaan 376,https://mijn.makelaarsland.nl/woning-details/2603930,,"Appartement, Galerijflat",Balkon aanwezig,"Douche, toilet",1,1951.0,Bestaande bouw,In overleg,5,2e woonlaag,1,Luger Coag uit 2020,Cv-ketel,,Ja,110,Ja,Ja,Ja,Ja,63,In woonwijk,5,Openbaar parkeren,,2,Beschikbaar,200,Cv-ketel
Utrecht,2021-11-13,3572 VK,599000,Bollenhofsestraat 85,https://mijn.makelaarsland.nl/woning-details/2603904,,,,Douche,1,1895.0,Bestaande bouw,In overleg,,,,,Cv-ketel,Gedeeltelijk dubbel glas,,,,,,,88,"Aan rustige weg, In woonwijk",,"Openbaar parkeren, Parkeervergunningen",Zadeldak bedekt met pannen,5,Beschikbaar,306,Cv-ketel
Utrecht,2021-11-13,3544 SV,398000,Zijlsterraklaan 45,https://mijn.makelaarsland.nl/woning-details/2603832,Voorzien van elektra,"Appartement, Benedenwoning",,"Ligbad, douche",1,1999.0,Bestaande bouw,In overleg,,1e woonlaag,3,,Stadsverwarming,"Dubbel glas, Volledig geïsoleerd",Ja,85,Ja,Ja,Ja,Ja,99,"Aan rustige weg, In woonwijk",,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,3,Beschikbaar,372,Centrale Voorziening
Utrecht,2021-11-13,3562 EN,274500,Theemsdreef 336,https://mijn.makelaarsland.nl/woning-details/2603486,,"Appartement, Portiekflat",Balkon aanwezig,"Ligbad, douche",1,1966.0,Bestaande bouw,In overleg,4,3e woonlaag,1,,Blokverwarming,,Ja,190,Ja,Ja,Ja,Ja,91,In woonwijk,5,Openbaar parkeren,,3,Beschikbaar,274,Elektrische boiler huur
Utrecht,2021-11-13,3541 AK,410000,Prof. Jan Bronnerlaan 149,https://mijn.makelaarsland.nl/woning-details/2603469,"Mechanische ventilatie, Buitenzonwering, Natuurlijke ventilatie",,,Toilet,1,2013.0,Bestaande bouw,In overleg,3,,,,Stadsverwarming,,,,,,,,88,"Aan rustige weg, In woonwijk",,"Openbaar parkeren, Op eigen terrein",Plat dak,4,Beschikbaar,313,Stadsverwarming
Utrecht,2021-11-13,3531 CZ,369000,Riouwstraat 72,https://mijn.makelaarsland.nl/woning-details/2603439,,,,,1,1910.0,Bestaande bouw,In overleg,1,,,"Tzera 28C ACE 24Kw Cw4 uit 2018, Eigendom",Cv-ketel,Dubbel glas,,,,,,,71,In woonwijk,,"Betaald parkeren, Parkeervergunningen",Zadeldak bedekt met pannen,7,Beschikbaar,218,Cv-ketel
