city,date,postal_code,price,streetname,url,amenities,appartment_type,balcony_terrace,bathroom_amenities,bathrooms_amount,build_year,construction_type,delivery,external_storage,floor,floors_amount,heating_type,heating,isolation,kvk_insurance,kvk_monthly_payment,kvk_registration,kvk_repair_plan,kvk_reserve_funds,kvk_yearly_meeting,living_size,location,outside_size,parking,roof,rooms_amount,status,volume,warm_water
Heelsum,24-12-22,6866 BP ,670000,Kamperdijklaan 1,https://mijn.makelaarsland.nl/woning-details/2986462?skipBrokerCheck=True,"Verwarming, Elektra, Water, Vliering",,,"Ligbad, douche, toilet",1,1939,Bestaande bouw,In overleg,,,,,"Cv-ketel, Openhaard","Dakisolatie, Muurisolatie, Vloerisolatie, Dubbel glas",,,,,,,154,"Aan rustige weg, In woonwijk",8,"Openbaar parkeren, Op eigen terrein",Tentdak bedekt met pannen,6,Beschikbaar,636,Cv-ketel
Ochten,24-12-22,4051 BZ ,639000,Groenestraat 37,https://mijn.makelaarsland.nl/woning-details/2986044?skipBrokerCheck=True,"Verwarming, Elektra, Water",,,Douche,1,1926,Bestaande bouw,In overleg,96,,,,"Cv-ketel, Houtkachel, Pelletkachel","Dakisolatie, Muurisolatie, Vloerisolatie, Dubbel glas",,,,,,,122,"Aan rustige weg, Vrij uitzicht, Open ligging, Landelijk gelegen",30,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,5,Beschikbaar,468,Cv-ketel
Amsterdam,24-12-22,1061 WB ,540000,Wijnand Nuijenstraat 105,https://mijn.makelaarsland.nl/woning-details/2985546?skipBrokerCheck=True,"Mechanische ventilatie, TV kabel, Lift, Natuurlijke ventilatie","Appartement, Portiekflat",Balkon aanwezig,"Douche, toilet",1,2006,Bestaande bouw,In overleg,7,2e woonlaag,1,,Cv-ketel,"Dubbel glas, Volledig geïsoleerd",Ja,152,Ja,Ja,Ja,Ja,87,"Aan rustige weg, In woonwijk",24,"Betaald parkeren, Parkeervergunningen",Plat dak bedekt met bitumineuze dakbedekking,3,Beschikbaar,284,Cv-ketel
Weesp,24-12-22,1382 NA ,775000,Anton Geesinkstraat 2,https://mijn.makelaarsland.nl/woning-details/2985524?skipBrokerCheck=True,Voorzien van elektra,,,Toilet,1,2017,Bestaande bouw,In overleg,8,,,,"Cv-ketel, Vloerverwarming gedeeltelijk",Volledig geïsoleerd,,,,,,,140,"Aan rustige weg, In woonwijk, Vrij uitzicht",,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,4,Beschikbaar,515,Cv-ketel
Westervoort,24-12-22,6932 DD ,300000,De Hoge Hoeve 71,https://mijn.makelaarsland.nl/woning-details/2984778?skipBrokerCheck=True,Voorzien van elektra,,,"Douche, toilet",1,1989,Bestaande bouw,In overleg,25,,,,"Stadsverwarming, Vloerverwarming gedeeltelijk","Dakisolatie, Muurisolatie, Vloerisolatie, Dubbel glas",,,,,,,106,"Aan rustige weg, In woonwijk",,Openbaar parkeren,Zadeldak bedekt met pannen,5,Beschikbaar,361,Centrale Voorziening
Amersfoort,24-12-22,3817 CD ,585000,Arnhemseweg-Zuid 141,https://mijn.makelaarsland.nl/woning-details/2984517?skipBrokerCheck=True,Voorzien van elektra,,,Ligbad,1,1906,Bestaande bouw,In overleg,13,,,,"Cv-ketel, Openhaard, Vloerverwarming gedeeltelijk","Dakisolatie, Dubbel glas, Grotendeels dubbelglas, HR-glas",,,,,,,138,"Aan rustige weg, In woonwijk, In bosrijke omgeving",,Openbaar parkeren,"Zadeldak bedekt met pannen, bitumineuze dakbedekking",5,Beschikbaar,480,"Cv-ketel, Elektrische boiler eigendom"
Millingen aan de Rijn,24-12-22,6566 DG ,650000,Zeelandsestraat 45 A,https://mijn.makelaarsland.nl/woning-details/2983798?skipBrokerCheck=True,"Verwarming, Elektra, Water",,,Ligbad,1,1994,Bestaande bouw,In overleg,31,,,,Cv-ketel,"Dakisolatie, Muurisolatie, Dubbel glas",,,,,,,164,"Aan rustige weg, In woonwijk",16,"Openbaar parkeren, Op eigen terrein",Mansardedak bedekt met pannen,5,Beschikbaar,659,Cv-ketel
Amsterdam,24-12-22,1091 VM ,375000,Tugelaweg 74 3,https://mijn.makelaarsland.nl/woning-details/2983616?skipBrokerCheck=True,"TV kabel, Natuurlijke ventilatie","Appartement, Bovenwoning",Balkon aanwezig,Douche,1,1930,Bestaande bouw,In overleg,,4e woonlaag,1,,Blokverwarming,"Dubbel glas, HR-glas",Ja,119,Ja,Ja,Ja,Ja,47,"Aan rustige weg, In woonwijk, Vrij uitzicht, Open ligging",9,"Betaald parkeren, Parkeervergunningen",Plat dak bedekt met bitumineuze dakbedekking,3,Beschikbaar,165,Centrale Voorziening
Diemen,24-12-22,1111 RS ,765000,Het Tolhek 10,https://mijn.makelaarsland.nl/woning-details/2982762?skipBrokerCheck=True,"Mechanische ventilatie, Natuurlijke ventilatie",,Dakterras aanwezig,"Douche, 2 toiletten",2,2010,Bestaande bouw,In overleg,8,,,,"Vloerverwarming geheel, Warmtepomp",Volledig geïsoleerd,,,,,,,133,"Aan rustige weg, In woonwijk",22,"Openbaar parkeren, Parkeervergunningen, Op eigen terrein",Lessenaarsdak bedekt met bitumineuze dakbedekking,5,Beschikbaar,465,Centrale Voorziening
Egmond aan den Hoef,24-12-22,1934 EN ,367500,Oranjeplein 9,https://mijn.makelaarsland.nl/woning-details/2982406?skipBrokerCheck=True,"Mechanische ventilatie, TV kabel, Zonnepanelen",,,"Douche, toilet",1,1965,Bestaande bouw,In overleg,,,,,Cv-ketel,"Dakisolatie, Dubbel glas",,,,,,,96,"Aan rustige weg, In woonwijk",8,Openbaar parkeren,Zadeldak bedekt met pannen,5,Beschikbaar,341,Cv-ketel
Nijmegen,24-12-22,6546 KN ,185000,Hillekensacker 1519,https://mijn.makelaarsland.nl/woning-details/2982269?skipBrokerCheck=True,Voorzien van elektra,"Appartement, Benedenwoning",,"Douche, toilet",1,1982,Bestaande bouw,In overleg,5,1e woonlaag,1,,Cv-ketel,"Muurisolatie, Vloerisolatie, Gedeeltelijk dubbel glas",Ja,56,Ja,Ja,Ja,Ja,41,"Aan rustige weg, In woonwijk",14,Openbaar parkeren,"Zadeldak bedekt met pannen, bitumineuze dakbedekking",2,Beschikbaar,128,Cv-ketel
Rotterdam,24-12-22,3021 CK ,425000,Graaf Florisstraat 78 B 03,https://mijn.makelaarsland.nl/woning-details/2981859?skipBrokerCheck=True,"Mechanische ventilatie, TV kabel, Airconditioning, Glasvezel kabel","Appartement, Bovenwoning","Dakterras aanwezig, balkon aanwezig","2 douches, 2 toiletten",2,1919,Bestaande bouw,In overleg,,4e woonlaag,2,,Cv-ketel,"Dakisolatie, HR-glas",Ja,25,Ja,Ja,Ja,Ja,95,"Aan rustige weg, In woonwijk, Vrij uitzicht",31,"Openbaar parkeren, Betaald parkeren, Parkeervergunningen","Samengesteld dak bedekt met pannen, bitumineuze dakbedekking",5,Beschikbaar,330,Cv-ketel
Rotterdam,24-12-22,3021 CK ,325000,Graaf Florisstraat 78 B 02,https://mijn.makelaarsland.nl/woning-details/2981857?skipBrokerCheck=True,"Mechanische ventilatie, TV kabel, Glasvezel kabel","Appartement, Tussenverdieping",,"Douche, toilet",1,1919,Bestaande bouw,In overleg,,3e woonlaag,1,,Cv-ketel,"Dakisolatie, Dubbel glas, HR-glas",Ja,25,Ja,Ja,Ja,Ja,69,"Aan rustige weg, In woonwijk, Vrij uitzicht",,"Openbaar parkeren, Betaald parkeren, Parkeervergunningen","Samengesteld dak bedekt met pannen, bitumineuze dakbedekking",3,Beschikbaar,259,Cv-ketel
's-Gravenhage,24-12-22,2548 NL ,749000,Liemerssingel 8,https://mijn.makelaarsland.nl/woning-details/2981561?skipBrokerCheck=True,"Voorzien van elektra, Met vliering",,,"Ligbad, douche, toilet",1,2009,Bestaande bouw,In overleg,5,,,,Stadsverwarming,Geen isolatie,,,,,,,170,"Aan rustige weg, In woonwijk",5,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,6,Beschikbaar,612,Centrale Voorziening
Leiderdorp,24-12-22,2352 KE ,339500,Lokhorst 141,https://mijn.makelaarsland.nl/woning-details/2981541?skipBrokerCheck=True,"TV kabel, Lift, Natuurlijke ventilatie","Appartement, Maisonnette",Balkon aanwezig,Toilet,1,1967,Bestaande bouw,In overleg,8,4e woonlaag,2,,Blokverwarming,Grotendeels dubbelglas,Ja,216,Ja,Ja,Ja,Ja,91,In woonwijk,13,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,3,Beschikbaar,291,Elektrische boiler eigendom
Amsterdam,24-12-22,1053 EM ,448500,Kinkerstraat 216 B,https://mijn.makelaarsland.nl/woning-details/2978488?skipBrokerCheck=True,"Mechanische ventilatie, TV kabel","Appartement, Bovenwoning",,"Douche, toilet",1,,Bestaande bouw,Direct,,2e woonlaag,1,,Cv-ketel,Dubbel glas,Ja,142,Ja,Ja,Ja,Ja,47,"In centrum, In woonwijk",4,"Betaald parkeren, Parkeervergunningen",Plat dak bedekt met bitumineuze dakbedekking,2,Beschikbaar,159,Cv-ketel
Enschede,24-12-22,7543 ZR ,198000,Munsterstraat 60,https://mijn.makelaarsland.nl/woning-details/2977882?skipBrokerCheck=True,Voorzien van elektra,,,Douche,1,1961,Bestaande bouw,In overleg,3,,,,Cv-ketel,Dubbel glas,,,,,,,86,"Aan park, Aan rustige weg, In woonwijk, Vrij uitzicht",,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,4,Beschikbaar,299,Cv-ketel
Zaandam,24-12-22,1507 EC ,405000,Vurehout 251,https://mijn.makelaarsland.nl/woning-details/2977410?skipBrokerCheck=True,"Mechanische ventilatie, TV kabel, Lift, Natuurlijke ventilatie","Appartement, Galerijflat",Balkon aanwezig,Douche,1,2015,Bestaande bouw,In overleg,20,4e woonlaag,1,,Cv-ketel,Volledig geïsoleerd,Ja,129,Ja,Ja,Ja,Ja,89,"Aan rustige weg, In woonwijk",5,Parkeergarage,Plat dak bedekt met bitumineuze dakbedekking,3,Beschikbaar,283,Cv-ketel
Utrecht,24-12-22,3515 XD ,410000,Jacob van der Borchstraat 12,https://mijn.makelaarsland.nl/woning-details/2976411?skipBrokerCheck=True,Mechanische ventilatie,"Appartement, Benedenwoning",,Toilet,1,1931,Bestaande bouw,In overleg,3,1e woonlaag,2,,"Cv-ketel, Houtkachel",Dubbel glas,Ja,20,Ja,Ja,Ja,Ja,68,In woonwijk,,Betaald parkeren,Zadeldak,3,Beschikbaar,239,Cv-ketel
