city,date,postal_code,price,streetname,url,amenities,appartment_type,balcony_terrace,bathroom_amenities,bathrooms_amount,build_year,construction_type,delivery,external_storage,floor,floors_amount,heating_type,heating,isolation,kvk_insurance,kvk_monthly_payment,kvk_registration,kvk_repair_plan,kvk_reserve_funds,kvk_yearly_meeting,living_size,location,outside_size,parking,roof,rooms_amount,status,volume,warm_water
Amsterdam,2022-05-16,1067 EH ,575000,Wigbolt Ripperdastraat 10,https://mijn.makelaarsland.nl/woning-details/2765439,Schuifpui,"Appartement, Maisonnette",Balkon aanwezig,Ligbad,1,2005.0,Bestaande bouw,In overleg,,1e woonlaag,2,,Cv-ketel,"Volledig geïsoleerd, Grotendeels dubbelglas",Ja,,Ja,Ja,Ja,Ja,144,"In centrum, In woonwijk",22,,Plat dak bedekt met bitumineuze dakbedekking,5,Beschikbaar,475,Cv-ketel
IJsselmuiden,2022-05-16,8271 EZ ,496000,Oosterlandenerf 27,https://mijn.makelaarsland.nl/woning-details/2765438,Elektra,,,"Ligbad, toilet",1,2018.0,Bestaande bouw,In overleg,,,,"Intergas HR Combi uit 2018, Eigendom",Cv-ketel,"Dakisolatie, Muurisolatie, Vloerisolatie, Dubbel glas",,,,,,,152,"Aan rustige weg, In centrum, In woonwijk",,"Openbaar parkeren, Op eigen terrein",Dwarskap bedekt met pannen,6,Beschikbaar,600,Cv-ketel
Heerlen,2022-05-16,6417 HP ,195000,Dillegaard 288,https://mijn.makelaarsland.nl/woning-details/2765437,,"Appartement, Galerijflat",Balkon aanwezig,"Ligbad, toilet",1,1983.0,Bestaande bouw,In overleg,,4e woonlaag,6,,Cv-ketel,Dubbel glas,Ja,142,Ja,Ja,Ja,Ja,62,,6,Openbaar parkeren,,2,Beschikbaar,191,Cv-ketel
Amsterdam,2022-05-16,1053 DD ,285000,Kinkerstraat 43 2-V,https://mijn.makelaarsland.nl/woning-details/2765436,,"Appartement, Bovenwoning",,"Douche, toilet",1,,Bestaande bouw,In overleg,,2e woonlaag,1,,Cv-ketel,Dubbel glas,Ja,,Ja,Ja,Ja,Ja,31,,,,,2,Beschikbaar,80,Cv-ketel
's-Hertogenbosch,2022-05-16,5211 VZ ,520000,Emmaplein 55,https://mijn.makelaarsland.nl/woning-details/2765434,Elektrische deur,"Appartement, Portiekflat",Frans balkon aanwezig,,,2016.0,Bestaande bouw,In overleg,6,2e woonlaag,6,"Intergas uit 2017, Eigendom","Cv-ketel, Vloerverwarming geheel, Warmte terugwininstallatie",Volledig geïsoleerd,Ja,168,Ja,Ja,Ja,Ja,96,"Aan park, In centrum, Vrij uitzicht",7,Parkeergarage,Plat dak bedekt met bitumineuze dakbedekking,4,Beschikbaar,318,Cv-ketel
Dronten,2022-05-16,8252 BC ,289500,Majoraan 15,https://mijn.makelaarsland.nl/woning-details/2765433,"Elektra, Water",,,Toilet,1,1984.0,Bestaande bouw,In overleg,5,,,"Nefit uit 2019, Eigendom","Cv-ketel, Houtkachel",Grotendeels dubbelglas,,,,,,,111,"Aan rustige weg, In woonwijk",5,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,5,Beschikbaar,455,Cv-ketel
Zoetermeer,2022-05-16,2725 CL ,480000,Barkwerf 13,https://mijn.makelaarsland.nl/woning-details/2765432,,,,,,,Bestaande bouw,In overleg,7,,,,,,,,,,,,135,,,Openbaar parkeren,,5,Beschikbaar,450,Cv-ketel
Etten-Leur,2022-05-16,4872 TE ,475000,Stationsstraat 68,https://mijn.makelaarsland.nl/woning-details/2765430,"Elektra, Elektrische deur",,,"Douche, toilet",1,1955.0,Bestaande bouw,In overleg,48,,,"Ferolli uit 1991, Eigendom",Cv-ketel,Geen isolatie,,,,,,,128,"In centrum, In woonwijk",,"Parkeervergunningen, Op eigen terrein","Mansardedak bedekt met pannen, bitumineuze dakbedekking",4,Beschikbaar,575,Geiser eigendom
Goudswaard,2022-05-16,3267 AV ,269500,van Almondestraat 4,https://mijn.makelaarsland.nl/woning-details/2765429,Voorzien van elektra,,,,1,1973.0,Bestaande bouw,In overleg,13,,,"Nefit Proline uit 2013, Eigendom",Cv-ketel,"Dakisolatie, Muurisolatie, Dubbel glas",,,,,,,108,"Aan rustige weg, In woonwijk",,Openbaar parkeren,Zadeldak bedekt met pannen,5,Beschikbaar,365,Cv-ketel
Den Helder,2022-05-16,1781 BN ,330000,Binnenhaven 116,https://mijn.makelaarsland.nl/woning-details/2765428,Elektra,,,,,1907.0,Bestaande bouw,In overleg,24,,,"Remeha uit 2014, Eigendom",Cv-ketel,"Dakisolatie, Vloerisolatie, Dubbel glas, HR-glas",,,,,,,140,,9,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,5,Beschikbaar,435,Cv-ketel
